com_name,family,genus,sci_name,fish
Guppy,Poeciliidae,Poecilia,Poecilia.reticulata,1
Paddlefish,Polyodontidae,Polyodon,Polyodon.spathula,1
Black Crappie,Centrarchidae,Pomoxis,Pomoxis.nigromaculatus,1
White Crappie,Centrarchidae,Pomoxis,Pomoxis.annularis,1
Ninespine Stickleback,Gasterosteidae,Pungitius,Pungitius.pungitius,1
Flathead Catfish,Ictaluridae,Pylodictis,Pylodictis.olivaris,1
Blacknose Dace,Cyprinidae,Rhinichthys,Rhinichthys.atratulus,1
Brown Trout,Salmonidae,Salmo,Salmo.trutta,1
Lake Trout,Salmonidae,Salvelinus,Salvelinus.namaycush,1
Sauger,Percidae,Sander,Sander.canadensis,1
Walleye,Percidae,Sander,Sander.vitreus,1
Shovelnose Sturgeon,Acipenseridae,Scaphirhynchus,Scaphirhynchus.platorynchus,1
Rudd,Cyprinidae,Scardinius,Scardinius.erythrophthalmus,1
Creek Chub,Cyprinidae,Semotilus,Semotilus.atromaculatus,1
Central Mud Minnow,Umbridae,Umbra,Umbra.limi,1
Splake,Salmonidae,Salvelinus,Salvelinus,1
"Spottail Shiner, Emerald Shiner Hybrid",Cyprinidae,Notropis,Notropis,1
"Bluegill, Orange Spotted Sunfish Hybrid",Centrarchidae,Lepomis,Lepomis,1
"Bluegill, Warmouth Hybrid",Centrarchidae,Lepomis,Lepomis,1
"Green Sunfish, Orange Spotted Sunfish Hybrid",Centrarchidae,Lepomis,Lepomis,1
"Green Sunfish, Warmouth Hybrid",Centrarchidae,Lepomis,Lepomis,1
Orange Spotted Sunfish,Centrarchidae,Lepomis,Lepomis,1
"Pumpkinseed, Bluegill Hybrid",Centrarchidae,Lepomis,Lepomis,1
"Pumpkinseed, Orange Spotted Sunfish Hybrid",Centrarchidae,Lepomis,Lepomis,1
"Pumpkinseed, Warmouth Hybrid",Centrarchidae,Lepomis,Lepomis,1
"Striped Bass, White Bass Hybrid",Moronidae,Morone,Morone,1
Cyprinid Hybrid,Cyprinidae,Cyprinidae,Cyprinidae,1
European bison,,,Bison.bonasus,0
cattle,,,Bos.taurus,0
gray wolf,,,Canis.lupus,0
American beaver,,,Castor.canadensis,0
red deer,,,Cervus.elaphus,0
Common snapping turtle,,,Chelydra.serpentina,0
Painted turtle,,,Chrysemys.picta,0
loon,,,Gavia,0
turtle,,,Graptemys,0
human,,,Homo.sapiens,0
turkey,,,Meleagris.gallopavo,0
Chinese ferret-badger,,,Melogale.moschata,0
no_hits,,,no_hits,0
deer,,,Odocoileus,0
raccoon,,,Procyon.lotor,0
gray squirrel,,,Sciurus.carolinensis,0
pig,,,Sus.scrofa,0
eastern cottontail,,,Sylvilagus.floridanus,0
eastern chipmunk,,,Tamias.striatus,0
red-eared slider turtle,,,Trachemys.scripta,0
duck,,,Aix,0
Ameiurus,Ictaluridae,Ameiurus,Ameiurus,1
asian_carp,Cyprinidae,asian_carp,asian_carp,1
suckers,Catostomidae,Catostomidae,Catostomidae,1
Coregonus,Salmonidae,Coregonus,Coregonus,1
Hiodon,Hiodontidae,Hiodon,Hiodon,1
bullhead catfishes,Ictaluridae,Ictaluridae,Ictaluridae,1
Ictalurus,Ictaluridae,Ictalurus,Ictalurus,1
Lepisosteus,Lepisosteidae,Lepisosteus,Lepisosteus,1
Macrhybopsis,Cyprinidae,Macrhybopsis,Macrhybopsis,1
Moxostoma,Catostomidae,Moxostoma,Moxostoma,1
Notropis,Cyprinidae,Notropis,Notropis,1
Percina,Percidae,Percina,Percina,1
Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus.mykiss,1
